citekey;zotero_key;author;year;title;field;tags;status
aristotleArtRhetoric2018;DS6YWI37;Aristotle;2018;The art of rhetoric;Linguistics, Rhetoric & Argumentation;emotion, persuasion, rhetorical_proofs;claude
asconeRadicalisationTraversLexpression2018;9FPZLJTX;Ascone;2018;La radicalisation à travers l'expression des émotions sur internet;Discourse Analysis;emotion, media, terrorism;claude
asconeSpontaneiteEmotionsMise2020;ADJ9X4RX;Ascone;2020;La spontanéité des émotions mise à l’épreuve sur internet : exprimer, susciter, manipuler;Discourse Analysis;emotion, manipulation, media;claude
atkinsonOurMastersVoices1996;38KZFDEE;Atkinson;1996;Our masters' voices: the language and body language of politics;Rhetoric & Argumentation;persuasion, political_discourse;claude
austinHowThingsWords1975;JH6IWNBU;Austin;1975;How to do things with words;Pragmatics;semantics, speech_acts;claude
austinSocialPsychologyIntergroup1979;AKQ7AI85;Austin;1979;The social psychology of intergroup relations;Psychology & Neuroscience;enemy_&_otherness, racism_&_prejudice;claude
azitaafrashiConceptualMetaphorsFEAR2018;54N5IFWX;Azita Afrashi;2018;Conceptual Metaphors of FEAR in Persian and English: A Cognitive and Corpus-based Approach;Linguistics;fear, metaphor;zotero
bakerUsefulMethodologicalSynergy2008;IBN7VH4P;Baker;2008;A useful methodological synergy? Combining critical discourse analysis and corpus linguistics to examine discourses of refugees and asylum seekers in the UK press;Corpus Linguistics;immigration, media, methodology;claude
balmerGodWhiteHouse2009;IXSBL7LV;Balmer;2009;God in the White House: How Faith Shaped the Presidency from John F. Kennedy to George W. Bush;History;Bush, religion, american_political_history;claude
bambergSmallStoriesNew2008;63YJI48U;Bamberg;2008;Small stories as a new perspective in narrative and identity analysis;Discourse Analysis;narratives;claude
barberConservatismEraTrump2019;RKQPTPHH;Barber;2019a;Conservatism in the Era of Trump;Political Science;Trump, conservatism, ideology;zotero
barberDoesPartyTrump2019;96PM9AZ2;Barber;2019b;Does Party Trump Ideology? Disentangling Party and Ideology in America;Political Science;conservatism, ideology;claude
beligonFeelingEmotionCompany2019;BW8PWICR;Beligon;2019;Feeling, emotion and the company they keep: what adjectives reveal about the substantives;Linguistics;emotion_words, semantics;claude
bellahCivilReligionAmerica1967;3SI6YJG4;Bellah;1967;Civil Religion in America;Sociology;ideology, religion;claude
benoitalaguillaumeHorizonsStylistiquesBarack2010;NSEUCLGY;Benoit A La Guillaume;2010;Les horizons stylistiques de Barack Obama;Linguistics;Obama, hyperbole_&_figures, political_discourse;claude
bergmannConspiracyPopulismPolitics2018;UJ7XQE47;Bergmann;2018;Conspiracy & Populism: The Politics of Misinformation;Political Science;conspiracy, populism, post-truth;claude
bharadwajDevelopingModelUse2025;MWDLALSC;Bharadwaj;2025;Developing a Model for Use of Fear Appeals for Countering Vaccine Hesitancy in Intercultural Contexts;Psychology & Neuroscience;fear_appeal, health_&_pandemic, persuasion;claude
schneider2020;X83UMMXD;Björkenstam;2020;I Know Words, I Have the Best Words  Repetitions, Parallelisms, and  Matters of (In)Coherence;Linguistics;Trump, hyperbole_&_figures;claude
blumenthalCaracteristiquesEffetsComplexite2014;NHCSKAUC;Blumenthal;2014;Caractéristiques et effets de la complexité sémantique de noms d’affect;Linguistics;emotion_words, semantics;claude
blumenthalNomsDemotionTrois2019;IX2KWVPE;Blumenthal;2019;Les noms d’émotion : Trois systèmes d’ordre;Linguistics;emotion_words, semantics;claude
boeynaemsFigurativeFramingPolitical2019;DPXGQYYF;Boeynaems;2019;Figurative Framing in Political Discourse;Political Science;hyperbole_&_figures, metaphor, political_discourse;zotero
bonneryStatistiquesEnjeuConnaissance2014;6NZYEGD6;Bonnery;2014;Les statistiques : enjeu de connaissance ou manipulation ?;Sociology, Mathematics & Statistics;manipulation;claude
bostdorffEpideicticRhetoricService2011;9I5MQRXY;Bostdorff;2011;Epideictic Rhetoric in the Service of War: George W. Bush on Iraq and the 60th Anniversary of the Victory over Japan;Rhetoric & Argumentation;Bush, political_discourse, war_&_violence;claude
botticiPhilosophyPoliticalMyth2007;4BJP5WJ7;Bottici;2007;A Philosophy of Political Myth;Philosophy;ideology, narratives;claude
boulinOnlyFakeNews2018;NQTZPZ9S;Boulin;2018;Only the Fake News Media and Trump enemies want me to stop using Social Media : La rhétorique populiste de Donald Trump sur Twitter;Linguistics;Trump, media, populism;claude
bourseConjuringTerrorTears2018;HGNG5ULS;Bourse;2018;Conjuring up terror and tears: the evocative and persuasive power of loaded words in the political discourse on drug reform;Linguistics;emotion_words, emotive_words, metaphor;claude
brayAntifaAntifascistHandbook2017;UVMULNHM;Bray;2017;Antifa: the anti-fascist handbook;Political Science;far_right, ideology;claude
bretonParoleManipulee2020;FN7ZIAMQ;Breton;2020;La parole manipulée;Rhetoric & Argumentation;manipulation, persuasion;claude
brezinaStatisticsCorpusLinguistics2018;Z8KVGZSH;Brezina;2018;Statistics in corpus linguistics: a practical guide;Corpus Linguistics, Mathematics & Statistics;methodology;claude
brownPolitenessUniversalsLanguage1987;QYCVSY2L;Brown;1987;Politeness: Some Universals in Language Usage;Pragmatics;politeness;claude
brunoFigureDansMiroir2004;U8DCCAWK;Bruno;2004;La figure dans le miroir: Lectures d'écrivains;Literature;hyperbole_&_figures, narratives;claude
bullockPartisanBiasFactual2015;9RYWA8H7;Bullock;2015;Partisan Bias in Factual Beliefs about Politics;Political Science;cognition, ideology, post-truth;claude
burgerMarquesLinguistiquesManipulation2006;6L4K9H3U;Burger;2006;Marques linguistiques et manipulation. Le cas d’une campagne de l’extrême droite suisse;Discourse Analysis;argumentation, far_right, manipulation;claude
burgersHIPMethodLinguistic2016;PD2JX7L9;Burgers;2016;HIP: A Method for Linguistic Hyperbole Identification in Discourse;Linguistics;hyperbole_&_figures, metaphor, methodology;claude
caffiPragmaticsEmotiveCommunication1994;2QJD4F9W;Caffi;1994;Toward a pragmatics of emotive communication;Pragmatics;emotion, emotive_words;claude
campbellTerrorismGenocide2015;W66NJI3C;Campbell;2015;Terrorism and Genocide;Sociology;terrorism, war_&_violence;claude
canomoraALLNOTHINGSEMANTIC2009;IJPTJ6PU;Cano Mora;2009;ALL OR NOTHING: A SEMANTIC ANALYSIS OF HYPERBOLE;Linguistics;hyperbole_&_figures, semantics;claude
capLegitimisationPoliticalDiscourse2006;P8YMTYXL;Cap;2006;Legitimisation in political discourse: a cross-disciplinary perspective on the modern US war rhetoric;Discourse Analysis;Bush, legitimization, proximization_&_DST, war_&_violence;claude
capPragmaticsMicropragmaticsMacropragmatics2011;EESGLZQX;Cap;2011;Pragmatics, Micropragmatics, Macropragmatics;Pragmatics;political_discourse;claude
capProximizationTheoryCritical2013;PQGYV45V;Cap;2013a;Proximization Theory and Critical Discourse Studies: A Promising Connection?;Discourse Analysis;proximization_&_DST, threat;claude
capProximizationPragmaticsSymbolic2013;IJCLXZYG;Cap;2013b;Proximization: The pragmatics of symbolic distance crossing;Discourse Analysis;political_discourse, proximization_&_DST, threat;claude
capCrossingSymbolicDistances2015;7CIAWYYQ;Cap;2015;Crossing Symbolic Distances in Political Discourse Space;Discourse Analysis;Bush, enemy_&_otherness, ideology, political_discourse, proximization_&_DST, terrorism, threat;zotero
capLanguageFearCommunicating2016;ECCJV4ZW;Cap;2016;The language of fear: communicating threat in public discourse;Linguistics;Bush, enemy_&_otherness, fear, immigration, metaphor, populism, proximization_&_DST, threat;zotero
capCriticalDiscourseAnalysis2020;YDTN2G4A;Cap;2020;Critical Discourse Analysis – Theories, Methodologies, Domains;Discourse Analysis;ideology, political_discourse;claude
carletonFearUnknownOne2016;I9JIX6W7;Carleton;2016;Fear of the unknown: One fear to rule them all?;Psychology & Neuroscience;fear, threat;claude
carletonFearingUnknownShort2007;IVSETTRA;Carleton;2007;Fearing the unknown: A short version of the Intolerance of Uncertainty Scale;Psychology & Neuroscience;fear;claude
caseyPersuasiveForceAd;EB4BS93F;Casey;2019;The Persuasive Force of the Ad Baculum;Rhetoric & Argumentation;argumentation, fear_appeal, threat;claude
castanhosilvaEliteSomethingExploring2017;MFZBKCBS;Castanho Silva;2017;The Elite Is Up to Something: Exploring the Relation Between Populism and Belief in Conspiracy Theories;Political Science;conspiracy, populism;claude
cedroniPolitolinguisticsNewAnalysis2013;CMSUUUTC;Cedroni;2013;Politolinguistics.  Towards a New Analysis of Political Discourse;Discourse Analysis;political_discourse, populism;zotero
chapelanPopulistConservatismConservative2020;YBUA3663;Chapelan;2020;Populist Conservatism or Conservative Populism? The Republican Party, the New Conservative Revolution and the Political Education of Donald Trump;Political Science;Trump, conservatism, populism;claude
charaudeauDiscoursPolitiqueMasques2005a;XYKJES76;Charaudeau;2004;Le discours politique: les masques du pouvoir;Discourse Analysis;ideology, political_discourse, rhetorical_proofs;claude
charaudeauPathosDiscoursPolitique2008;YQHD3ZLH;Charaudeau;2008;Pathos et discours politique;Discourse Analysis;emotion, political_discourse, rhetorical_proofs;claude
charteris-blackCorpusApproachesCritical2004;PN8YFXM3;Charteris-Black;2004;Corpus Approaches to Critical Metaphor Analysis;Corpus Linguistics;metaphor, political_discourse, methodology;claude
charteris-blackBritainContainerImmigration2006;YB849ZLG;Charteris-Black;2006;Britain as a container: immigration metaphors in the 2005 election campaign;Discourse Analysis;ideology, immigration, metaphor;claude
chiltonPolitenessPoliticsDiplomacy1990;B9EEQZVK;Chilton;1990;Politeness, Politics and Diplomacy;Pragmatics;politeness, political_discourse;claude
chiltonAnalysingPoliticalDiscourse2004;ZFIIJBKU;Chilton;2004;Analysing political discourse: theory and practice;Discourse Analysis, Political Science;Bush, argumentation, definition, dog_whistling, fear, frames, ideology, metaphor, modality, political_discourse, proximization_&_DST, semantics;zotero
chiltonVectorsViewpointViewpoint2005;NWTRW9HC;Chilton;2005;Vectors, viewpoint and viewpoint shift: toward a discourse space theory;Discourse Analysis;cognition, proximization_&_DST;claude
chiltonNeurocognitiveModelSociopolitical2017;DZXDXQXR;Chilton;2017;Toward a neuro-cognitive model of socio-political discourse, and an application to the populist discourse of Donald Trump:;Discourse Analysis, Political Science;Trump, fear, metaphor, modality, populism, pronouns, proximization_&_DST, threat;zotero
cislaruExpressionPeurInterpretations2009;W4WEIVKQ;Cislaru;2009;Expression de la peur et interprétations sémantiques en contexte;Linguistics;emotion_words, fear, semantics;claude
cislaruEmotionsScenariosQuestionnements2014;ZMFPGGI4;Cislaru;2014;Émotions et scénarios : questionnements méthodologiques pour une approche discursive;Discourse Analysis;emotion, frames, methodology;claude
civettiniBarackObamaPolitical2011;2U6BJXXV;Civettini;2011;Barack Obama and the Political Science of Hope;Political Science;Obama, emotion;claude
zotero-item-7114;VKKT7C99;Cochran;1977;Sampling Techniques;Mathematics & Statistics;methodology;claude
coleridgeBiographiaLiteraria1997;UMDMPDDI;Coleridge;1997;Biographia literaria;Literature;hyperbole_&_figures;claude
collovaldPopulismeValorisationStigmatisation2005;89MVJQ9D;Collovald;2005;Le populisme : de la valorisation à la stigmatisation du populaire;Political Science;definition, populism;claude
conlanFederalismBushAdministration2007;I9CFQSWI;Conlan;2007;Federalism, the Bush Administration, and the Transformation of American Conservatism;Political Science;Bush, conservatism;claude
connorClimateChangePosttruth2011;2VAAWXHS;Connor;2011;Climate change and post-truth politics;Political Science;manipulation, post-truth;claude
cookLongmanHandbookModern1998;74YXDNFW;Cook;1998;The Longman handbook of modern American history: 1763 - 1996;History;american_political_history;claude
cosentinoSocialMediaPosttruth2020;JFXSAZCU;Cosentino;2020;Social media and the post-truth world order: the global dynamics of disinformation;Sociology;conspiracy, media, post-truth;claude
cotteLexplicationGrammaticaleTextes1996;FMJYP4PE;Cotte;1996;L'explication grammaticale de textes anglais;Grammar;grammar;claude
cotteeWhatISISReally2017;6CH3GT8S;Cottee;2017;“What ISIS Really Wants” Revisited: Religion Matters in Jihadist Violence, but How?;Political Science;religion, terrorism;claude
crichtonDoingBattleNoun2007;CG2YN4UG;Crichton;2007;Doing battle with a noun: Notes on the grammar of ‘terror’;Grammar;fear, nominalization, terrorism, grammar;claude
critchlowAmericanPoliticalHistory2015;28AAQ7QX;Critchlow;2015;American political history: a very short introduction;History;american_political_history;claude
crouchPostdemocracy2004;P46J7KE8;Crouch;2004;Post-democracy;Political Science;ideology;claude
cussetChapitre7Ce2006;NUETNPJZ;Cusset;2006;Chapitre 7. Ce que parler veut dire… et peut faire. Pouvoirs du langage et langages du pouvoir chez Habermas et Foucault;Philosophy;ideology, speech_acts;claude
danielkapustAncientUsesPolitical2008;Z8BAEH75;Daniel Kapust;2008;On the Ancient Uses of Political Fear and Its Modern Implications;Rhetoric & Argumentation;fear, political_discourse;zotero
saussureManipulationIdeologiesTwentieth2005a;F6UIGLST;Danler;2005;Morpho-syntactic and textual realizations as deliberate pragmatic argumentative linguistic tools?;Discourse Analysis, Political Science;cognition, ideology, manipulation;zotero
davidsonWhatMetaphorsMean1978;AC9M9MBN;Davidson;1978;What Metaphors Mean;Philosophy;metaphor, semantics;claude
defina2023;SDFTIWNZ;De Fina;2023;Narratives and storytelling processes in the  analysis of political discourse;Discourse Analysis;narratives, political_discourse;claude
depelsmackerFearAppealEffectiveness2011;E42UERRN;De Pelsmacker;2011;Fear appeal effectiveness for familiar and unfamiliar issues;Psychology & Neuroscience;fear_appeal, persuasion;claude
desaussureStrawManFallacy2018;XY6WTMQR;De Saussure;2018;The Straw Man Fallacy as a Prestige-Gaining Device;Pragmatics;argumentation, manipulation;claude
debiecFearBrain2004;BIGWGJ22;Debiec;2004;Fear and the Brain;Psychology & Neuroscience;cognition, fear;claude
deganiEndangeredIntellectCase2016;BP6V8Q85;Degani;2016;Endangered Intellect: A Case Study of Clinton Vs Trump Campaign Discourse;Discourse Analysis;Trump, political_discourse, populism;claude
delahuntyAnalysisThingThat2012;FBJTNEYL;Delahunty;2012;An analysis of The thing is that S sentences;Grammar;shell_nouns, grammar;claude
demataKeepingThreatOut2021;4ZUVE7A9;Demata;2021;Keeping the Threat Out Trump’s Discourse, the Wall and the “Other”;Discourse Analysis;Trump, enemy_&_otherness, ideology, populism, threat;claude
demataConspiracyTheoryDiscourses2022;YK7DEASE;Demata;2022;Conspiracy theory discourses;Discourse Analysis;conspiracy, populism;claude
demattia-viviesYOUObscurePronom2019;BALJEUKA;De Mattia-Vivies;2019;YOU The Obscure, un pronom très personnel;Grammar;pronouns, grammar;claude
desaussureManipulationCognitivePragmatics2005;C2IGCMC7;De Saussure;2005;Manipulation and cognitive pragmatics;Discourse Analysis, Political Science;cognition, ideology, manipulation;zotero
diessnerWelfareStateDeservingness2026;IAQFZLX3;Diessner;2026;Welfare State Deservingness in the Era of Mass Higher Education;Political Science;ideology;claude
dollePolitiquePeur2004;3548KEEF;Dolle;2004;Politique de la peur;Philosophy;fear, ideology;claude
douzouTeaPartyDonald2022;MHT9BCTB;Douzou;2022;Du Tea Party à Donald Trump : la radicalisation du Parti républicain aux États-Unis;History;conservatism, far_right, american_political_history;claude
dowtyThematicProtoRolesArgument1991;YJ6H63LC;Dowty;1991;Thematic Proto-Roles and Argument Selection;Grammar;semantics, grammar;claude
ducrotDireDit1989;ZSNKAR3J;Ducrot;1989;Le dire et le dit;Pragmatics;argumentation, semantics;claude
bourcierMotsDiscours1981;4WQE59HX;Ducrot;1981;Les mots du discours;Pragmatics;argumentation, semantics;claude
dunningAccurateMethodsStatistics1993;8EKISDAW;Dunning;1993;Accurate Methods for the Statistics of Surprise and Coincidence;Corpus Linguistics, Mathematics & Statistics;methodology;claude
dupriezGradusProcedesLitteraires2019a;6KBXLHIB;Dupriez;2014;Gradus: les procédés littéraires dictionnaire;Rhetoric & Argumentation;hyperbole_&_figures, metaphor;claude
duyvesteynHowNewNew2004;UI8QSLSD;Duyvesteyn;2004;How New Is the New Terrorism?;Political Science;terrorism, war_&_violence;claude
edwardsDefiningEnemyPostCold2008;D8TFX7Y8;Edwards;2008;Defining the Enemy for the Post-Cold War World: Bill Clinton's Foreign Policy Discourse in Somalia and Haiti;Rhetoric & Argumentation;definition, enemy_&_otherness;claude
schneider2020a;RMRI9A4H;Egbert;2020;It’s Just Words, Folks. It’s Just Words. Donald Trump’s Distinctive Linguistic Style;Corpus Linguistics;Trump, political_discourse;claude
elderPragmaticInferenceMisunderstandings2024;CKA8T8GU;Elder;2024;Pragmatic Inference: Misunderstandings, Accountability, Deniability;Pragmatics;dog_whistling, legitimization;claude
elnakkouziArgumentativeFunctionRescue2024;XKJ63QHF;Elnakkouzi;2024;The argumentative function of rescue narratives: Trump’s national security rhetoric as a case study;Discourse Analysis, Political Science, Rhetoric & Argumentation;Trump, argumentation, narratives, populism;zotero
engelFoucaultPolitiqueVerite2019;EVPIP2SN;Engel;2019;Foucault, la politique de la vérité et la politique de la foutaise:;Philosophy;manipulation, post-truth;claude
ermanPragmaticMarkersRevisited2001;T3J7KWCZ;Erman;2001;Pragmatic markers revisited with a focus on you know in adult and adolescent talk;Pragmatics;pronouns, sociolinguistics;claude
ermidaLinguisticMechanismsPower2006;PYAR3MSB;Ermida;2006;Linguistic mechanisms of power in Nineteen Eighty-Four: Applying politeness theory to Orwell's world;Pragmatics;ideology, politeness;claude
faircloughDiscourseSocialChange1992;FWBGRB5K;Fairclough;1992;Discourse and social change;Discourse Analysis;ideology;claude
faircloughAnalysingDiscourseTextual2003;Z9ASGZVS;Fairclough;2003;Analysing discourse: textual analysis for social research;Discourse Analysis, Sociology;ideology;claude
faircloughCriticalDiscourseAnalysis2013a;NSY6YMLI;Fairclough;2013;Critical Discourse Analysis: the critical study of language;Discourse Analysis;ideology;claude
faircloughLanguagePower2015;54GIRAYP;Fairclough;2015;Language and power;Discourse Analysis;ideology;claude
faircloughConversationalisationPoliticalDiscourse1997;CU2YKV92;Fairclough;1997;The Conversationalisation of Political Discourse: A comparative view;Discourse Analysis;media, political_discourse;claude
farberRiseFallModern2012;IB2Z6WVK;Farber;2012;The rise and fall of modern American conservatism: a short history;History;conservatism, american_political_history;claude
farielloRedScareMemories2008;D8Z7WWBC;Fariello;2008;Red Scare: Memories of the American Inquisition;History;enemy_&_otherness, fear, american_political_history;claude
fiebig-vonhaseEnemyImagesAmerican1997a;ZBTCIURH;Fiebig-Von Hase;1997;Enemy images in American history;History;enemy_&_otherness, immigration, war_&_violence, american_political_history;claude
fillmoreFrameBasedLexiconSemantics1992;5W7BF25M;Fillmore;1992;Toward a Frame-Based Lexicon: The semantics of Risk and its Neighbors;Linguistics;frames, semantics, threat;claude
fiorinaCultureWarMyth2011;65LG5IZQ;Fiorina;2011;Culture war? the myth of a polarized America;Political Science;conservatism, enemy_&_otherness;claude
fiskeUniversalDimensionsSocial2007;4UIUW7KL;Fiske;2007;Universal dimensions of social cognition: warmth and competence;Psychology & Neuroscience;cognition, racism_&_prejudice;claude
francesturekReligiousRhetoricEvolution2014;3IQSM9KD;Frances Turek;2014;Religious Rhetoric and the Evolution of George W. Bush's Political Philosophy;Political Science;Bush, political_discourse, religion;claude
fraserChapter11Hedging2010;4LHRCKGJ;Fraser;2010;Chapter 11. Hedging in political discourse: The Bush 2007 press conferences;Pragmatics;Bush, modality, political_discourse;claude
freisteinItJustFeels2022;Q6FI88BP;Freistein;2022;It Just Feels Right . Visuality and Emotion Norms in Right-Wing Populist Storytelling;Political Science;emotion, narratives, populism;claude
TotalitarianismProceedingsConference;UHIPN92D;Friedrich;1954;Totalitarianism. Proceedings of a Conference Held at the American Academy of Arts and Sciences, March 1953;Political Science;ideology;claude
frowDiscoursePower1985;FPH48YJ8;Frow;1985;Discourse and Power;Discourse Analysis, Political Science;ideology;zotero
fryTERRORISMCRIMEHUMANITY2002;EGNL7D8G;Fry;2002;TERRORISM AS A CRIME AGAINST HUMANITY AND GENOCIDE: THE BACKDOOR TO UNIVERSAL JURISDICTION;Political Science;terrorism;claude
gardellePragmaticsPersonalPronouns2015;MQ2F8YI7;Gardelle;2015;The pragmatics of personal pronouns;Pragmatics;pronouns;claude
garrisonForgottenManWhite2026;AH55MH55;Garrison;2026;The forgotten man and White populist resentment: power, politics, and narrative dominance in the Trump era;Political Science;Trump, narratives, populism, racism_&_prejudice;claude
garzacuaronConnotationMeaning1991;QDBMYKLJ;Garza Cuaron;1991;Connotation and meaning;Linguistics;emotive_words, semantics;claude
gastilUndemocraticDiscourseReview1992;YKHFJC9C;Gastil;1992;Undemocratic discourse: a review of theory and research on political discourse;Discourse Analysis;manipulation, political_discourse;claude
yamaguchiApproachesLanguageCulture2014a;CHAMJXUE;Geeraerts;2014;Deliteralization and the Birth of ‘Emotion’;Linguistics;emotion_words, semantics;claude
gentileSacralizationPoliticsFascist1996;LRZPK2NJ;Gentile;1996;The sacralization of politics in fascist Italy;History;far_right, ideology, religion;claude
gershkoffShapingPublicOpinion2005;ERYRNWMF;Gershkoff;2005;Shaping Public Opinion: The 9/11-Iraq Connection in the Bush Administration's Rhetoric;Political Science;Bush, manipulation, terrorism, war_&_violence;claude
gerstleRiseFallAmericas2018;K28V5A7T;Gerstle;2018;The Rise and Fall(?) of America?s Neoliberal Order;History;conservatism, ideology, american_political_history;claude
gibbsjrMetaphorWarsConceptual2018a;HCF8QRTW;Gibbs;2018;Metaphor Wars: Conceptual Metaphors in Human Life;Linguistics;cognition, metaphor;claude
gilesAccommodationTheoryCommunication1991;3R7GDWZC;Giles;1991;Accommodation theory: Communication, context, and consequence;Pragmatics;sociolinguistics;claude
gilesSpeechStyleSocial1979;GFXP3WU6;Giles;1979;Speech style and social evaluation;Pragmatics;sociolinguistics;claude
glassnerCultureFearWhy2018;LT679GSI;Glassner;2018;The culture of fear: why Americans are afraid of the wrong things;Sociology;fear, media, threat;claude
goddardWordsMeaningsLexical2016;G9J5PYNW;Goddard;2016;Words and meanings: lexical semantics across domains, languages, and cultures;Linguistics;emotion_words, semantics;claude
goffmanFaceWorkAnalysisRitual1955;W27WZJES;Goffman;1955;On Face-Work: An Analysis of Ritual Elements in Social Interaction;Sociology;politeness;claude
goffmanPresentationSelfEveryday1956;ET8UBA7B;Goffman;1956;The Presentation of Self in Everyday Life;Psychology & Neuroscience, Sociology;politeness, rhetorical_proofs, social_theory;claude
gouldMovingPoliticsEmotion2009;MTW2YHB8;Gould;2009;Moving politics: emotion and act up's fight against AIDS;Sociology;emotion, health_&_pandemic;claude
graingerSickBad1974;AZ9XUHQN;Grainger;1974;Sick = Bad;Sociology;health_&_pandemic, metaphor;claude
gramsciQuaderniCarcere2008;RZNVVYDR;Gramsci;2008;Quaderni del carcere;Philosophy;ideology;claude
griceStudiesWayWords1991;RDZTJGF8;Grice;1991;Studies in the way of words;Pragmatics;semantics;claude
griffinPrimacyCultureCurrent2002;5U4EFKZA;Griffin;2002;The Primacy of Culture: The Current Growth (Or Manufacture) of Consensus within Fascist Studies;History;far_right, ideology;claude
guPragmaticsRhetoricCollaborative1994;8XTU9M92;Gu;1994;Pragmatics and Rhetoric: A Collaborative Approach to Conversation;Pragmatics;politeness, rhetorical_proofs;claude
guillaumeTerrorismInternationalLaw2004;ULHKD6KZ;Guillaume;2004;Terrorism and International Law;Political Science;definition, terrorism;claude
gurrPsychologicalFactorsCivil1968;9HBXV9KW;Gurr;1968;Psychological Factors in Civil Violence;Political Science;war_&_violence;claude
gurrWhyMenRebel2016;YXIBVNMF;Gurr;2016;Why men rebel;Sociology;fear, war_&_violence;claude
hallidayCohesionEnglish2014a;6FGCCI3J;Halliday;2014;Cohesion in English;Grammar;pronouns, grammar;claude
hallidayIntroductionFunctionalGrammar2007;C69WJ5RC;Halliday;2007;An introduction to functional grammar;Grammar;modality, nominalization, grammar;claude
halpernAnalogiesAidUnderstanding1990;65BYLEX2;Halpern;1990;Analogies as an aid to understanding and memory.;Psychology & Neuroscience;cognition, metaphor;claude
halpernInventingCollateralDamage2009;NFV7MGA8;Halpern;2009;Inventing collateral damage: civilian casualties, war and empire;History;manipulation, war_&_violence;claude
hancockContemporaryWelfareReform2003;QFQJ3HSC;Hancock;2003;"Contemporary Welfare Reform and the Public Identity of the ""Welfare Queen""";Political Science;enemy_&_otherness, racism_&_prejudice;claude
hancockPoliticsDisgustPublic2004;UM5MUTK5;Hancock;2004;The politics of disgust: the public identity of the welfare queen;Political Science;emotion, racism_&_prejudice;claude
haney-lopezDogWhistlePolitics2014;HJHQLEQD;Haney-Lopez;2014;Dog whistle politics: how coded racial appeals have reinvented racism and wrecked the middle class;Political Science;conservatism, dog_whistling, racism_&_prejudice;claude
harimanSpeakingEvil2003;HVTQPFM7;Hariman;2003;Speaking of Evil;Rhetoric & Argumentation;Bush, enemy_&_otherness;claude
harsinRegimesPosttruthPostpolitics2015;3CMXQTQ5;Harsin;2015;Regimes of Posttruth, Postpolitics, and Attention Economies;Sociology;media, post-truth;claude
hassanEffectsRepetitionFrequency2021;E2GFT72F;Hassan;2021;The effects of repetition frequency on the illusory truth effect;Psychology & Neuroscience;cognition, hyperbole_&_figures, post-truth;claude
haviland-jonesHandbookEmotions2016;B3TVVAR8;Haviland-Jones;2016;Handbook of emotions;Psychology & Neuroscience;emotion;claude
hawkesMetaphor2018;QTRY7NW4;Hawkes;2018;The metaphor;Literature;metaphor;claude
hayakawaLanguageThoughtAction1990;6WDNTQS8;Hayakawa;1990;Language in thought and action;Linguistics;emotive_words, semantics;claude
